"","ASV","domain","phylum","class","order","family","genus","species","W","detected_0.9","detected_0.8","DESeq2_log2FoldChange"
"1","1014","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",173,TRUE,TRUE,0.436904681135443
"2","1017","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",170,TRUE,TRUE,0.308549088651837
"3","1030","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",173,TRUE,TRUE,0.281506821456356
"4","1031","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",166,TRUE,TRUE,0.209164207655585
"5","1032","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",170,TRUE,TRUE,0.327533118099617
"6","1060","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Lawsonella;s",173,TRUE,TRUE,0.54524491029076
"7","1070","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",154,FALSE,TRUE,-0.0986453451714766
"8","1080","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",147,FALSE,TRUE,-0.176604761637408
"9","1081","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",170,TRUE,TRUE,-0.109768897417299
"10","1082","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium;s",146,FALSE,TRUE,-0.150378505068883
"11","1098","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium;s",170,TRUE,TRUE,0.26628761880956
"12","1262","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",166,TRUE,TRUE,0.234132619697619
"13","1280","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",140,FALSE,TRUE,0.178562144664555
"14","1281","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",145,FALSE,TRUE,0.168246834568169
"15","1282","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",172,TRUE,TRUE,0.0509121860912902
"16","1287","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",164,TRUE,TRUE,0.039944154359229
"17","1290","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",169,TRUE,TRUE,-0.0260958926565062
"18","1293","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",167,TRUE,TRUE,0.24534981551278
"19","1294","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",156,FALSE,TRUE,0.0345970405652459
"20","1302","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",154,FALSE,TRUE,0.0411629913988574
"21","1304","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",165,TRUE,TRUE,0.0895310881897898
"22","1312","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus;s",166,TRUE,TRUE,0.202391230723979
"23","1410","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus;s",171,TRUE,TRUE,-0.282568776939358
"24","1416","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus;s",149,FALSE,TRUE,-0.102653447910728
"25","1420","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus;s",164,TRUE,TRUE,-0.318448704628874
"26","1421","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus;s",149,FALSE,TRUE,-0.162213806250946
"27","1491","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","Dolosigranulum;s",171,TRUE,TRUE,-0.107894307470087
"28","1492","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","Dolosigranulum;s",142,FALSE,TRUE,-0.233757590412716
"29","1493","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","Dolosigranulum;s",141,FALSE,TRUE,-0.15313724265991
"30","1507","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella","Gemella;s",159,TRUE,TRUE,-0.185075063996861
"31","1535","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales;f","Finegoldia","Finegoldia;s",172,TRUE,TRUE,0.583490209592921
"32","1582","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales;f","Anaerococcus","Anaerococcus;s",172,TRUE,TRUE,0.543801656371054
"33","1593","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales;f","Anaerococcus","Anaerococcus;s",169,TRUE,TRUE,0.388444748945276
"34","1618","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales;f","Peptoniphilus","Peptoniphilus;s",173,TRUE,TRUE,0.668661759577856
"35","183","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae;g","Pasteurellaceae;g;s",145,FALSE,TRUE,-0.155374725071604
"36","1926","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Veillonella;s",144,FALSE,TRUE,-0.160185992202846
"37","1931","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","Veillonella;s",148,FALSE,TRUE,-0.0848310224313362
"38","268","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella;s",142,FALSE,TRUE,0.0838478316602343
"39","269","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella;s",154,FALSE,TRUE,-0.16994698632333
"40","270","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella;s",172,TRUE,TRUE,-0.262099854871229
"41","283","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella;s",157,TRUE,TRUE,-0.163934049160649
"42","670","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","Alloprevotella;s",159,TRUE,TRUE,-0.275087575059621
"43","699","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas;s",143,FALSE,TRUE,-0.302759578621358
